username,rating,comment
d*****6,5,"Barang bagus, alhamdulillah pas buat anak smp kls1. Kecepatan pengiriman baek, respon penjual baek.pokoknya jangan ragu order ditoko know. Good job 👍👍👍👍👍"
iskasing_ha1621,4,"pengiriman bagus

pengemasan bagus

bahan baju bagus
tpi perlu hati hati dalam pemilihan warna ya
bisa jdi krn efek camera


overall bagus
"
zulainifiidn,5,Sesuai dengan gambar. Pengemasan hingga pengiriman barang cepat. Bahan yg digunakan juga adem dan menyerap keringat. Jahitannya rapi. Terima kasih
a*****n,5,"pembelian ke sekian kali di toko ini
dan selalu puas dengan pelayanan dan kualitas produknya
pertahankan Gan 👍👍👍"
soniaima,5,Paket aman pengemasan aman rapih bagus barang juga bagus keren banget bagus recomended terimakasih banyak
asepnurjaman96,3,"Cukuplah  untk harga segini
Estimasi pengiriman topmarkotop
Saran aja diskusi chat di perbaiki lagii"
elisa_kanaya23,5,"Realfict bosque,,next order lagi,,pengemasan cepet,,pengiriman juga cepet banget thanks yaa,,semoga sukses selalu"
esterkana76,5,Bajunya bagus..bahan adem best quality..kurirnya ramah krn udah langganan..next order lagi..mksh
wantyyugistiana,5,"Bajunya bagus banget, ukurannya pas buat adekku, motifnya juga ngak lebai"
riyan.shop,5,"Pesanannya udh nyampe kak. Kualitas produk sangat bagus. Tebal dan tidak murahan. Harga terjangkau. Warna sesuai pesanan. Terimakasih kak. 
Recomended pokoknya. "
muhammadfaizfadhilah14052003,5,"1. Plastiknya susah dibuka yg pastinya aman
2. Pengiriman gak pake lama
3.Bahannya dan warna sesuai yg diharapkan"
s*****2,5,"Kualitas terjamin....
Produk original, bahan tebaaal dan lembuut....
Rekomended pokonyaaa, next order lagiii👌👌
Maaf baru kasih ulasaan😁🙏


"
linadede87,5,"Pokonya mantap..sesuai pesenan...bahan oke
Pengiriman jg cepet
Next order lagi
Makasi yaaah🤗"
mw10092001,4,Banyak benang benang yg blm di gunting tapi ok lah untuk harga segitu
i*****3,5,"Paket sudah sampai, kemeja nya bagus cuma bnyak sisa² benang yg tertinggal dibaju nya, pembelian kedua Alhamdulillah suami suka. Thanks"
alfred58,5,"Paket sudah tiba dengan rapi dan sedikit agak lama, bahan bagus"
r*****4,2,Sudah bagus sih kualitas barangnya semuanya oke. Cuman kok lain ya yg di post Mike pm yg dteng brand lain mungkin agak di koreksi lgi klo bkin caption nya sesuai sama barang
d*****i,5,"Terima kasih barang sudah sampai dengan baik, bahan kemeja nya bagus lembut enak di pakainya.. "
